Country,Region,adb_region,AAA Group,Overall DRI Score,Basic Needs,Business & Government Investment,Ease of Doing Business,Human Capital,Start-Up Environment,Technology Adoption,Technology Infrastructure,,included?,iso3,country,adb_region
Belgium,Western Europe,-,Accelerate High,0.88,0.86,1.22,0.46,0.95,0.13,0.78,0.94,,1.00,MMR,Myanmar,Southeast Asia
Benin,Africa,-,Activate,-1.16,-1.80,-0.57,-0.80,-1.13,-0.61,-0.89,-1.25,,1.00,NPL,Nepal,South Asia
Bolivia,LATAM,-,Accelerate Low,-0.57,0.16,-1.28,-1.25,0.13,-0.53,-0.40,-0.25,,1.00,PAK,Pakistan,South Asia
Bosnia and Herzegovina,Eastern Europe,-,Accelerate Low,-0.07,0.63,-0.26,-0.12,-0.27,-0.43,0.03,-0.03,,1.00,PNG,Papua New Guinea,The Pacific
Botswana,Africa,-,Accelerate High,0.21,-0.34,-0.19,0.37,0.13,1.11,0.41,-0.21,,1.00,PHL,Philippines,Southeast Asia
Brazil,LATAM,-,Accelerate Low,-0.15,0.56,-0.08,-1.09,0.06,-0.32,-0.16,0.13,,1.00,SGP,Singapore,Southeast Asia
Bulgaria,Eastern Europe,-,Accelerate High,0.27,0.61,-0.04,-0.69,0.32,0.30,0.17,0.95,,1.00,LKA,Sri Lanka,South Asia
Burkina Faso,Africa,-,Activate,-1.27,-2.32,-0.27,-1.07,-1.53,-0.62,-0.88,-1.00,,1.00,TJK,Tajikistan,Caucasus and Central Asia
Cambodia,Asia Pacific,Southeast Asia,Accelerate Low,-0.38,-0.31,-0.55,-1.34,0.31,-0.53,0.26,-0.14,,1.00,THA,Thailand,Southeast Asia
Cameroon,Africa,-,Activate,-1.07,-1.50,-0.98,-1.33,-0.19,-0.58,-0.79,-1.14,,1.00,TLS,Timor-Leste,Southeast Asia
Canada,North America,-,Amplify,1.40,0.87,1.49,0.94,1.40,0.61,2.13,1.05,,1.00,UZB,Uzbekistan,Caucasus and Central Asia
Central African Republic,Africa,-,Activate,-1.89,-3.01,-0.68,-2.25,-1.54,-0.64,-1.91,-1.42,,1.00,VNM,Vietnam,Southeast Asia
Chad,Africa,-,Activate,-1.87,-2.92,-0.33,-2.18,-2.23,-0.64,-1.60,-1.44,,1.00,ARM,Armenia,Caucasus and Central Asia
Chile,LATAM,-,Accelerate High,0.65,0.78,0.55,0.75,0.49,0.49,0.37,0.48,,1.00,AZE,Azerbaijan,Caucasus and Central Asia
China,Asia Pacific,East Asia,Accelerate High,0.23,0.56,-0.73,0.45,0.47,0.01,0.24,0.38,,,BTN,Bhutan,South Asia
Colombia,LATAM,-,Accelerate High,0.02,0.57,0.06,-0.20,0.22,-0.36,0.12,-0.29,,,BRN,Brunei Darussalam,Southeast Asia
Congo,Africa,-,Activate,-1.24,-1.09,-0.88,-1.89,-0.47,-0.61,-1.13,-1.42,,,COK,Cook Islands (the),The Pacific
Costa Rica,LATAM,-,Accelerate High,0.39,0.76,-0.12,0.77,0.34,-0.18,0.51,0.29,,,FJI,Fiji,The Pacific
Côte d'Ivoire,Africa,-,Accelerate Low,-0.80,-1.46,-0.02,-0.15,-1.74,-0.59,-0.09,-0.79,,1.00,GEO,Georgia,Caucasus and Central Asia
Croatia,Eastern Europe,-,Accelerate High,0.45,0.63,0.11,0.67,0.52,-0.07,0.21,0.68,,,HKG,Hong Kong,East Asia
Cyprus,Eastern Europe,-,Accelerate High,0.99,0.85,0.09,0.51,1.05,1.54,0.87,1.10,,,KIR,Kiribati,The Pacific
Czech Republic,Eastern Europe,-,Accelerate High,0.83,0.79,0.41,1.00,1.12,-0.07,0.63,1.15,,,KOR,Korea (the Republic of),East Asia
Democratic Republic of the Congo,Africa,-,Activate,-1.56,-2.33,-0.98,-1.39,-1.12,-0.65,-1.66,-1.31,,,MDV,Maldives,South Asia
Denmark,Western Europe,-,Amplify,1.82,0.83,1.60,1.84,1.29,0.81,1.19,3.44,,,MHL,Marshall Islands (the),The Pacific
Dominican Republic,LATAM,-,Accelerate Low,-0.27,0.32,-0.11,-0.37,-0.27,-0.41,-0.30,-0.50,,,FSM,Micronesia (Federated States of),The Pacific
Ecuador,LATAM,-,Accelerate Low,-0.28,0.53,-0.84,-0.43,0.22,-0.26,-0.56,-0.36,,,NRU,Nauru,The Pacific
Egypt,Middle East,-,Accelerate Low,-0.46,0.38,-0.19,-0.60,-1.39,-0.51,-0.26,-0.21,,,NIU,Niue,The Pacific
El Salvador,LATAM,-,Accelerate Low,-0.15,0.45,-0.16,0.13,-0.41,-0.48,0.23,-0.69,,,PLW,Palau,The Pacific
Eritrea,Africa,-,Activate,-1.63,-1.31,-1.59,-1.80,-1.00,-0.62,-2.10,-1.47,,,WSM,Samoa,The Pacific
Estonia,Eastern Europe,-,Amplify,1.57,0.77,0.57,1.25,1.39,2.79,0.98,1.78,,,SLB,Solomon Islands,The Pacific
Ethiopia,Africa,-,Activate,-1.28,-1.46,-0.88,-0.83,-1.19,-0.61,-1.57,-1.23,,,TWN,Taiwan (Province of China),East Asia
Finland,Western Europe,-,Amplify,1.53,0.88,2.22,1.65,1.30,0.31,1.16,1.74,,,TON,Tonga,The Pacific
France,Western Europe,-,Accelerate High,0.98,0.89,1.00,0.98,0.78,0.39,0.76,1.17,,,TKM,Turkmenistan,Caucasus and Central Asia
Gabon,Africa,-,Accelerate Low,-0.60,-0.36,-0.30,-1.89,-0.21,-0.58,0.12,-0.43,,,TUV,Tuvalu,The Pacific
Georgia,Middle East,Caucasus and Central Asia,Accelerate High,0.50,0.49,0.05,1.01,0.59,0.39,0.15,0.34,,,VUT,Vanuatu,The Pacific
Germany,Western Europe,-,Amplify,1.33,0.85,1.60,1.47,1.29,0.08,1.18,1.60,,,,,
Ghana,Africa,-,Accelerate Low,-0.49,-0.54,-0.17,-0.19,-0.80,-0.57,-0.10,-0.62,,,,,
Greece,Western Europe,-,Accelerate High,0.42,0.88,-0.02,0.53,0.48,-0.40,0.35,0.72,,,,,
Guatemala,LATAM,-,Accelerate Low,-0.43,0.27,-0.17,-0.02,-0.63,-0.54,-0.41,-1.11,,,,,
Guinea,Africa,-,Activate,-1.32,-1.89,-0.58,-1.17,-1.66,-0.62,-0.87,-1.21,,,,,
Haiti,LATAM,-,Activate,-1.22,-1.40,-0.68,-0.99,-1.24,-0.64,-1.20,-1.23,,,,,
Honduras,LATAM,-,Accelerate Low,-0.55,0.37,-0.24,-0.62,-0.49,-0.47,-1.09,-0.82,,,,,
Hungary,Eastern Europe,-,Accelerate High,0.36,0.70,0.40,-0.52,0.78,-0.26,0.35,0.73,,,,,
Iceland,Western Europe,-,Amplify,2.15,0.92,4.44,1.34,1.58,1.75,1.34,1.68,,,,,
India,Asia Pacific,South Asia,Accelerate Low,-0.62,-0.01,-0.71,0.19,-1.10,-0.55,-0.80,-0.78,,,,,
Indonesia,Asia Pacific,Southeast Asia,Accelerate Low,-0.06,0.20,-0.53,0.46,0.17,-0.54,-0.07,-0.08,,,,,
Iran,Middle East,-,Accelerate Low,-0.25,0.55,-1.34,-0.54,-0.45,-0.53,0.59,0.22,,,,,
Iraq,Middle East,-,Accelerate Low,-0.88,0.25,-1.38,-1.07,-1.25,-0.62,-0.59,-0.68,,,,,
Ireland,Western Europe,-,Amplify,1.54,0.84,2.05,1.34,1.30,0.98,1.23,1.61,,,,,
Israel,Middle East,-,Amplify,1.31,0.90,1.89,0.68,1.03,2.32,0.43,0.69,,,,,
Italy,Western Europe,-,Accelerate High,0.56,0.93,0.55,0.37,0.42,-0.15,0.66,0.59,,,,,
Jamaica,LATAM,-,Accelerate Low,-0.08,0.37,0.03,0.04,-0.02,-0.41,-0.26,-0.25,,,,,
Japan,Asia Pacific,-,Amplify,1.35,0.97,0.95,1.04,1.28,0.92,1.29,1.69,,,,,
Jordan,Middle East,-,Accelerate Low,-0.23,0.49,-0.11,0.44,-0.55,-0.49,-0.62,-0.55,,,,,
Kazakhstan,Asia Pacific,Caucasus and Central Asia,Accelerate High,0.23,0.44,-0.52,0.55,0.70,-0.40,0.42,0.21,,,,,
Kenya,Africa,-,Accelerate Low,-0.57,-0.96,-0.46,0.00,0.19,-0.51,-0.72,-0.97,,,,,
Kuwait,Middle East,-,Accelerate High,0.37,0.61,-0.44,0.43,0.26,0.08,0.96,0.32,,,,,
Kyrgyzstan,Asia Pacific,Caucasus and Central Asia,Accelerate Low,-0.15,0.24,-0.37,-0.26,0.14,-0.46,-0.27,0.08,,,,,
Laos,Asia Pacific,Southeast Asia,Accelerate Low,-0.89,-0.24,-0.88,-1.13,-0.14,-0.60,-1.28,-1.10,,,,,
Latvia,Eastern Europe,-,Accelerate High,0.77,0.62,0.27,0.96,1.14,0.27,0.43,0.99,,,,,
Lebanon,Middle East,-,Accelerate Low,-0.33,0.62,-0.37,-0.49,-0.69,-0.37,-0.52,-0.18,,,,,
Lesotho,Africa,-,Accelerate Low,-0.93,-1.88,-0.48,-0.55,-0.43,-0.36,-0.92,-0.99,,,,,
Liberia,Africa,-,Activate,-1.56,-1.64,-0.48,-2.62,-1.31,-0.65,-1.40,-1.37,,,,,
Lithuania,Eastern Europe,-,Accelerate High,0.88,0.63,0.19,1.19,1.13,0.04,1.12,1.03,,,,,
Luxembourg,Western Europe,-,Amplify,2.22,0.89,1.31,1.16,0.87,5.78,2.16,1.27,,,,,
Macedonia,Eastern Europe,-,Accelerate High,0.16,0.60,-0.23,0.57,-0.10,0.07,-0.06,0.11,,,,,
Madagascar,Africa,-,Activate,-1.40,-1.60,-0.48,-2.61,-0.20,-0.63,-1.68,-1.26,,,,,
Malawi,Africa,-,Activate,-1.09,-1.51,-0.57,-0.48,-0.71,-0.63,-1.54,-1.14,,,,,
Malaysia,Asia Pacific,Southeast Asia,Accelerate High,0.46,0.58,-0.08,0.89,0.50,-0.10,0.58,0.43,,,,,
Mali,Africa,-,Activate,-1.18,-1.56,-0.27,-1.07,-2.10,-0.62,-0.55,-0.94,,,,,
Malta,Western Europe,-,Accelerate High,0.94,0.86,0.35,0.33,0.64,1.24,1.20,1.05,,,,,
Mauritania,Africa,-,Activate,-1.25,-1.37,-0.58,-1.08,-2.19,-0.62,-0.84,-0.91,,,,,
Mauritius,Africa,-,Accelerate High,0.55,0.52,0.24,1.07,0.33,0.49,0.35,0.35,,,,,
Mexico,LATAM,-,Accelerate Low,-0.04,0.54,-0.01,-0.19,0.11,-0.38,-0.23,-0.09,,,,,
Moldova,Eastern Europe,-,Accelerate Low,-0.13,0.28,-0.46,0.45,-0.33,-0.34,-0.27,-0.11,,,,,
Mongolia,Asia Pacific,East Asia,Accelerate High,0.04,0.10,-0.57,0.25,0.49,0.03,0.07,-0.10,,,,,
Montenegro,Eastern Europe,-,Accelerate High,0.53,0.69,-0.03,-0.07,0.30,0.97,0.95,0.40,,,,,
Morocco,Africa,-,Accelerate Low,-0.11,0.36,-0.23,0.70,-1.32,-0.44,0.38,-0.10,,,,,
Mozambique,Africa,-,Activate,-1.19,-1.84,-0.87,-0.38,-0.81,-0.41,-1.58,-1.34,,,,,
Myanmar,Asia Pacific,Southeast Asia,Accelerate Low,-0.85,-0.61,-0.98,-0.75,-0.76,-0.60,-0.70,-0.73,,,,,
Namibia,Africa,-,Accelerate Low,-0.44,-0.84,-0.18,0.41,-0.24,-0.36,-0.58,-0.85,,,,,
Nepal,Asia Pacific,South Asia,Accelerate Low,-0.66,-0.03,-1.38,-0.31,-0.39,-0.53,-0.45,-0.93,,,,,
Netherlands,Western Europe,-,Amplify,1.57,0.88,2.18,1.09,1.36,0.57,1.20,2.21,,,,,
New Zealand,Asia Pacific,-,Amplify,1.70,0.87,2.26,1.63,1.58,1.83,1.16,0.95,,,,,
Nicaragua,LATAM,-,Accelerate Low,-0.57,0.07,-0.37,-0.73,-0.30,-0.34,-0.92,-0.88,,,,,
Niger,Africa,-,Activate,-1.51,-2.22,-0.48,-0.59,-2.08,-0.64,-1.75,-1.37,,,,,
Nigeria,Africa,-,Activate,-1.25,-1.94,-0.67,-0.86,-1.69,-0.56,-0.73,-1.12,,,,,
Norway,Western Europe,-,Amplify,1.54,0.89,1.96,1.52,1.35,0.93,1.43,1.27,,,,,
Oman,Middle East,-,Accelerate High,0.37,0.53,-0.20,0.78,0.50,-0.30,0.57,0.37,,,,,
Pakistan,Asia Pacific,South Asia,Activate,-1.06,-0.64,-0.37,-0.85,-1.89,-0.62,-1.19,-0.88,,,,,
Panama,LATAM,-,Accelerate High,0.12,0.51,0.25,-0.17,0.03,0.03,0.12,-0.04,,,,,
Papua New Guinea,Asia Pacific,The Pacific,Activate,-1.38,-1.38,-1.08,-0.61,-1.76,-0.60,-1.64,-1.31,,,,,
Paraguay,LATAM,-,Accelerate Low,-0.11,0.46,-0.06,-0.27,0.20,-0.36,-0.02,-0.62,,,,,
Peru,LATAM,-,Accelerate High,0.04,0.47,-0.03,0.01,0.39,-0.20,0.11,-0.52,,,,,
Philippines,Asia Pacific,Southeast Asia,Accelerate Low,-0.25,0.15,-0.35,0.09,-0.23,-0.57,0.12,-0.74,,,,,
Poland,Eastern Europe,-,Accelerate High,0.73,0.75,0.53,0.46,1.07,-0.40,0.68,1.34,,,,,
Portugal,Western Europe,-,Accelerate High,0.80,0.87,0.79,0.96,0.73,0.24,0.46,0.79,,,,,
Qatar,Middle East,-,Accelerate High,0.73,0.78,0.24,1.03,1.01,0.21,0.74,0.40,,,,,
Romania,Eastern Europe,-,Accelerate High,0.35,0.64,-0.07,0.20,0.32,0.03,0.33,0.67,,,,,
Russia,Eastern Europe,-,Accelerate High,0.39,0.48,-0.80,0.59,0.96,-0.09,0.75,0.49,,,,,
Rwanda,Africa,-,Accelerate Low,-0.58,-1.15,-0.37,0.99,-0.36,-0.50,-1.04,-1.10,,,,,
Saudi Arabia,Middle East,-,Accelerate High,0.31,0.61,-0.08,0.60,0.07,-0.49,0.52,0.67,,,,,
Senegal,Africa,-,Accelerate Low,-0.86,-0.55,-0.36,-0.36,-1.95,-0.61,-0.48,-0.91,,,,,
Serbia,Eastern Europe,-,Accelerate High,0.22,0.57,-0.05,0.06,0.41,-0.39,0.25,0.46,,,,,
Sierra Leone,Africa,-,Activate,-1.38,-2.43,-0.38,-0.53,-2.07,-0.59,-1.13,-1.23,,,,,
Singapore,Asia Pacific,Southeast Asia,Amplify,2.37,0.93,1.83,1.69,1.67,4.16,2.10,1.95,,,,,
Slovakia,Eastern Europe,-,Accelerate High,0.61,0.70,0.16,0.68,0.82,-0.10,0.72,0.71,,,,,
Slovenia,Eastern Europe,-,Accelerate High,0.83,0.86,0.44,1.05,1.12,-0.12,0.70,0.94,,,,,
South Africa,Africa,-,Accelerate Low,-0.06,-0.28,-0.55,0.23,-0.65,0.38,0.51,0.01,,,,,
South Korea,Asia Pacific,East Asia,Amplify,1.73,0.91,1.79,1.54,1.31,2.56,1.28,1.12,,,,,
Spain,Western Europe,-,Amplify,1.00,0.93,1.80,0.91,0.83,-0.17,0.82,0.93,,,,,
Sri Lanka,Asia Pacific,South Asia,Accelerate Low,-0.32,0.54,-0.77,-0.41,-0.22,-0.49,-0.23,-0.33,,,,,
Sudan,Africa,-,Activate,-1.40,-1.33,-1.48,-0.96,-1.86,-0.62,-1.07,-1.15,,,,,
Sweden,Western Europe,-,Amplify,1.95,0.91,3.44,1.51,1.38,1.93,1.33,1.34,,,,,
Switzerland,Western Europe,-,Amplify,1.64,0.93,1.81,1.47,1.43,0.99,1.38,1.93,,,,,
Tajikistan,Asia Pacific,Caucasus and Central Asia,Accelerate Low,-0.85,-0.08,-1.08,-0.89,-0.66,-0.60,-0.76,-1.09,,,,,
Tanzania,Africa,-,Accelerate Low,-0.94,-1.42,-0.46,-0.84,-0.06,-0.63,-1.08,-1.22,,,,,
Thailand,Asia Pacific,Southeast Asia,Accelerate High,0.32,0.65,-0.31,0.70,0.36,-0.44,0.73,0.24,,,,,
Timor-Leste,Asia Pacific,Southeast Asia,Accelerate Low,-0.80,-0.22,-0.68,-1.07,-0.73,-0.28,-0.76,-1.11,,,,,
Togo,Africa,-,Activate,-1.03,-1.44,-0.37,-0.55,-1.08,-0.60,-1.18,-1.02,,,,,
Trinidad and Tobago,LATAM,-,Accelerate High,0.04,0.44,-0.36,-0.27,0.40,-0.43,0.45,0.02,,,,,
Tunisia,Africa,-,Accelerate Low,-0.24,0.53,-0.62,0.17,-0.90,-0.40,0.04,-0.27,,,,,
Turkey,Middle East,-,Accelerate High,0.22,0.61,0.01,0.61,0.23,-0.32,-0.11,0.30,,,,,
Uganda,Africa,-,Accelerate Low,-0.97,-1.49,-0.48,-0.25,-0.42,-0.57,-1.61,-1.09,,,,,
Ukraine,Eastern Europe,-,Accelerate Low,-0.13,0.39,-0.84,-0.71,0.51,-0.39,0.13,0.13,,,,,
United Arab Emirates,Middle East,-,Amplify,1.26,0.70,1.37,1.27,1.21,0.16,1.29,1.64,,,,,
United Kingdom,Western Europe,-,Amplify,1.59,0.84,2.11,1.44,1.35,1.69,0.97,1.20,,,,,
United States of America,North America,-,Amplify,2.08,0.74,2.19,1.05,1.20,2.19,3.01,2.23,,,,,
Uruguay,LATAM,-,Accelerate High,0.48,0.70,0.68,0.47,0.50,-0.30,0.46,0.40,,,,,
Uzbekistan,Asia Pacific,Caucasus and Central Asia,Accelerate Low,-0.10,0.36,-1.07,0.15,0.59,-0.49,-0.21,0.08,,,,,
Venezuela,LATAM,-,Activate,-1.08,0.25,-1.53,-3.07,-0.10,-0.59,-0.81,-0.68,,,,,
Vietnam,Asia Pacific,Southeast Asia,Accelerate High,0.22,0.44,-0.42,0.28,1.11,-0.46,0.29,0.10,,,,,
Yemen,Middle East,-,Activate,-1.39,-1.09,-0.58,-1.61,-1.85,-0.57,-1.36,-1.36,,,,,
Zambia,Africa,-,Accelerate Low,-0.72,-1.45,-0.47,0.05,-0.11,-0.54,-0.89,-0.93,,,,,
Zimbabwe,Africa,-,Accelerate Low,-0.87,-1.53,-1.08,-0.85,0.42,-0.45,-0.98,-0.78,,,,,
